tip_label,species,status,tip_order
Euphorbia_myrsinites,Euphorbia_myrsinites,exisiting species in the megatree,294
Euphorbia_seguieriana,Euphorbia_seguieriana,exisiting species in the megatree,295
Euphorbia_dulcis,Euphorbia_dulcis,exisiting species in the megatree,296
Euphorbia_epithymoides,Euphorbia_epithymoides,exisiting species in the megatree,297
Euphorbia_helioscopia,Euphorbia_helioscopia,exisiting species in the megatree,298
Euphorbia_lathyris,Euphorbia_lathyris,exisiting species in the megatree,299
Euphorbia_nutans,Euphorbia_nutans,exisiting species in the megatree,300
Euphorbia_maculata,Euphorbia_maculata,exisiting species in the megatree,301
Euphorbia_marginata,Euphorbia_marginata,exisiting species in the megatree,302
Hura_crepitans,Hura_crepitans,exisiting species in the megatree,303
Sapium_glandulosum,Sapium_glandulosum,exisiting species in the megatree,304
Mercurialis_annua,Mercurialis_annua,exisiting species in the megatree,305
Linum_narbonense,Linum_narbonense,exisiting species in the megatree,306
Linum_usitatissimum,Linum_usitatissimum,exisiting species in the megatree,307
Linum_lewisii,Linum_lewisii,exisiting species in the megatree,308
Ochna_serrulata,Ochna_serrulata,exisiting species in the megatree,309
Oxalis_violacea,Oxalis_violacea,grafted at genus level,310
Oxalis_obliquifolia,Oxalis_obliquifolia,grafted at genus level,311
Oxalis_corniculata,Oxalis_corniculata,grafted at genus level,312
Oxalis_alpina,Oxalis_alpina,grafted at genus level,313
Averrhoa_carambola,Averrhoa_carambola,exisiting species in the megatree,314
Ceratopetalum_gummiferum,Ceratopetalum_gummiferum,exisiting species in the megatree,315
Euonymus_fortunei,Euonymus_fortunei,exisiting species in the megatree,316
Euonymus_europaeus,Euonymus_europaeus,exisiting species in the megatree,317
Euonymus_japonicus,Euonymus_japonicus,exisiting species in the megatree,318
Parnassia_palustris,Parnassia_palustris,exisiting species in the megatree,319
Brassica_rapa,Brassica_rapa,exisiting species in the megatree,320
Brassica_napus,Brassica_napus,exisiting species in the megatree,321
Brassica_oleracea,Brassica_oleracea,exisiting species in the megatree,322
Rapistrum_rugosum,Rapistrum_rugosum,exisiting species in the megatree,323
Raphanus_raphanistrum,Raphanus_raphanistrum,exisiting species in the megatree,324
Diplotaxis_muralis,Diplotaxis_muralis,grafted at genus level,325
Eruca_vesicaria,Eruca_vesicaria,exisiting species in the megatree,326
Sinapis_alba,Sinapis_alba,exisiting species in the megatree,327
Sisymbrium_altissimum,Sisymbrium_altissimum,exisiting species in the megatree,328
Sisymbrium_orientale,Sisymbrium_orientale,exisiting species in the megatree,329
Alliaria_petiolata,Alliaria_petiolata,exisiting species in the megatree,330
Iberis_umbellata,Iberis_umbellata,exisiting species in the megatree,331
Iberis_sempervirens,Iberis_sempervirens,exisiting species in the megatree,332
Arabis_alpina,Arabis_alpina,exisiting species in the megatree,333
Arabis_caerulea,Arabis_caerulea,exisiting species in the megatree,334
Arabis_collina,Arabis_collina,exisiting species in the megatree,335
Lunaria_annua,Lunaria_annua,exisiting species in the megatree,336
Alyssum_alyssoides,Alyssum_alyssoides,exisiting species in the megatree,337
Alyssum_montanum,Alyssum_montanum,exisiting species in the megatree,338
Aurinia_saxatilis,Aurinia_saxatilis,exisiting species in the megatree,339
