taxon_name,taxon_authors,accepted_plant_name_id,keep,family,genus,species,Standardized_names,TPL_names,TPL_Author,TPL_names.withAuthor,invasion_status,c_score,s_score,r_score,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,wcup_eco_use_num_2out,wcup_eco_use_status,Checked_year,Provience_pinyin,Geo.region,Geo.region4,provinces,n.provinces,BG_codes
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1959,Ningxia,Northwest,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,WUK 0391718
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1959,Shanxi,North,Central,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286232; PE 01286231; PE 01286229; PE 01286230; PE 01286228; PE 01286227
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1965,Shanghai,East,East,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,IBK IBK00162325
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1971,Qinghai,Northwest,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,HNWP 23742
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1972,Inner Mongolia,North,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,HIMC 0022096
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1978,Hainan,South,East,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286244; PE 01286243
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,2014,Chongqing,Southwest,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,CSH CSH0128923
Acacia dealbata,Link,2611879,Matched to an accepted name,Fabaceae,Acacia,dealbata,Acacia dealbata,Acacia dealbata,Link,Acacia dealbata Link,2,34.8394487,57.23292012,7.92763118,0,1,1,1,1,1,1,1,0,0,7,6,1,1946,Yunnan,Southwest,West,Yunnan; Guangdong; Hainan; Guangxi; Guizhou; Chongqing; Jiangxi; Hongkong; Hunan; Sichuan; Hubei; Shanghai; Jiangsu; Zhejiang; Fujian,15,KUN 0598110; IBSC 0158956; IBSC 0158955
Acacia dealbata,Link,2611879,Matched to an accepted name,Fabaceae,Acacia,dealbata,Acacia dealbata,Acacia dealbata,Link,Acacia dealbata Link,2,34.8394487,57.23292012,7.92763118,0,1,1,1,1,1,1,1,0,0,7,6,1,1951,Guangdong,South,East,Yunnan; Guangdong; Hainan; Guangxi; Guizhou; Chongqing; Jiangxi; Hongkong; Hunan; Sichuan; Hubei; Shanghai; Jiangsu; Zhejiang; Fujian,15,IBK IBK00067591
Acacia dealbata,Link,2611879,Matched to an accepted name,Fabaceae,Acacia,dealbata,Acacia dealbata,Acacia dealbata,Link,Acacia dealbata Link,2,34.8394487,57.23292012,7.92763118,0,1,1,1,1,1,1,1,0,0,7,6,1,1955,Hainan,South,East,Yunnan; Guangdong; Hainan; Guangxi; Guizhou; Chongqing; Jiangxi; Hongkong; Hunan; Sichuan; Hubei; Shanghai; Jiangsu; Zhejiang; Fujian,15,CDBI CDBI0055478
